No.;Nama Potensi Wisata;Kode ;X;Y;Elevasi (m);Foto;KET;Nama Gampong;Sejarah;Keunikan Objek;Jalur Akses;Fasilitas;Transportasi;kondisi wisata
0;Pasie lambaro (camping penyi art camp ) penyu  belimbing dan lekang ;G9;95,0660833333333;5,67158333333333;-27;1;;Gugop;Bencana Tsunami tahun 2004,Pernah kejadian 60 warga rohingya terdampar;Ada keong,Ada tempat duduk kayu dan ayunan,Ada kandang penyu;Kendaraan beroda;;;Ada hewan kepiting, anjing, dan keong
1;Pusat Informasi Konservasi Penyu dan Wisata ;G10;95,0661388888889;5,67147222222222;-26;3;;;;;;;;
2;Pasie Balu ( Habitat Penyu );G11;95,0579722222222;5,68922222222222;-29;4;;Gugop;Bencana Tsunami tahun 2004,Pernah ada paus terdampar;Jalan yang sangat berliku-liku;Kendaraan beroda dua,Melewati lembah,Melewati bukit;;;Perlu direnovasi karena banyak pohon tumbang
3;Pelabuhan Gugop ;G2;95,07725;5,66877777777778;-28;6;;;;;;;;
4;mesjid ;G1;95,0787777777778;5,66863888888889;-33;7;;;;;;;;
5;musolla;G5;95,0747777777778;5,66961111111111;-25;8;;;;;;;;
6;Kantor keuchik Gugop;G6;95,0747777777778;5,66961111111111;-25;9;;;;;;;;
7;polsek ;G9;95,0709166666667;5,66741666666667;-30;10;;;;;;;;
8;bate mengeireng ;S3;95,0690277777778;5,66286111111111;-22;13;;Seurapong;Pernah kejadian Tsunami 2004,Pernah ada kerasukan;;Jalur didaki dengan keadaan berbatuan besar,Parkir mobil/motor di tepi kemudian mendaki;;;Hanya sedikit diperbagus rute perjalananya karena kalua hujan licin,Bersih
9;Ujong Bak U;S4;95,0666388888889;5,66072222222222;-10;14;;Seurapong;Bencana Tsunami tahun 2004;Hanya bisa di daki,Rumput berwarna oren,Banyak pohon kelapa;Hanya didaki;;;Bersih,Tidak ada hewan
10;Pelabuhan serapong  ;S2;95,0774444444444;5,66616666666667;-33;18;;;;;;;;
11;mesjid ;S1;95,0772222222222;5,66502777777778;-26;19;;;;;;;;
